NAME,YEAR_EST,UNIQUE_ID_ROUND____STATE____ACC,TYPE,SITE_TYPE,FACILITY_TYPE,PROGRAM_TYPE,LAT,LNG,ADDRESS1,CITY,REGION,STATE,ZIP,COUNTY,ADDITIONAL_LOCATION_INFO,CONGRESSIONAL_DISTRICT,RELIGION,RACE,URL,VISITOR_PHONE,VISITOR_INFO_EMAIL,OPEN,COUNTRY,NPS_UNIT,PARK_NAME,PARK_CODE,NATIONAL_HISTORIC_ID,NPS_REGION,ASSOCIATED_PEOPLE,ASSOCIATED_ORGANIZATIONS,FREEDOM_SEEKERS,UGRROPS,Stamps,ABSTRACT
Fort Pulaski National Monument,2001,01GA01,Site,"Destination,Military Site",,,32.03164,-80.972591,"101 Fort Pulaski Road, Savannah, Georgia.",Savannah,Southeast,Georgia,31410,Chatham,,1,,,N/A,No,No,Yes,USA,Yes,,,,Southeast,Major General David Hunter,,,,No,"Constructed between 1829 and 1847, Fort Pulaski was created as part of a national defense system designed to safeguard important cities and ports along the eastern coast of America from foreign attack. On January 3, 1861, Georgia State troops took possession of the federal fort with orders from the governor to ""hold it against all persons."" On April 10, 1862, Union forces, under the command of Major General David Hunter, demanded the unconditional surrender of the fort. Confederate Colonel Charles H. Olmstead refused the demand, and the two sides soon began exchanging cannon fire. After 30 hours of battle, the Union forces prevailed and took possession of the fort. After the victory, Gen. Hunter announced in General Order No. 7, that: ""All persons of color lately held to involuntary service by enemies of the United States in Fort Pulaski and on Cockspur Island, Georgia, are hereby confiscated and declared free, in conformity with the law, and shall here after receive the fruits of their own labor."" This order was issued approximately eight months before Abraham Lincoln's Emancipation Proclamation. Until the end of the Civil War, Fort Pulaski served as a destination for enslaved people attempting to reach freedom. It also played an important role as a recruitment station for freed African American males who wanted to serve in one of the nation's first black regiments, the First South Carolina Volunteer Infantry."
Nishnabotna Ferry House,2001,01IA01,Site,Station,,,41.307711,-95.083457,701 Minnesota Street,Lewis,Midwest,Iowa,51544,Cass,,4,,,N/A,No,No,Yes,USA,No,,,,Midwest,,,,"George B. Hitchcock,John Brown",No,"Contemporary reminisces and local tradition maintain that the East Nishnabotna Ferry crossing outside of Lewis, Iowa (Cass County) was utilized by freedom seekers and their guides on the Underground Railroad during the late 1850s. The ferry crossing was on the main state/post road between Des Moines [east] and Kanesville (Council Bluffs) [west]. This portion of the road was on the Jim Lane Trail and the Tabor to Springdale route of the Underground Railroad across Iowa. It was the only way to cross the river for many miles in both directions. One noteworthy incident occurred in February 1859, as John Brown, with the help of others, transported a dozen freedom seekers across the ferry. The river crossing is an appropriate place to commemorate this association with the Underground Railroad in Southwestern Iowa. Today, the Nishnabotna Ferry House property is owned by a local historical association. It is located across the river, approximately a quarter mile east of the George B. Hitchcock House. The ferry keeper's house is the only remaining structure from the period."
Constitution Hall--Topeka,2001,01KS01,Site,Station,,,39.053473,-95.672573,427-429 S. Kansas Avenue,Topeka,Midwest,Kansas,66601,Shawnee,,2,,,N/A,No,No,No,USA,No,,,,Midwest,,,,"John Brown,Joseph Miller,Rev. Lewis Bodwell",Yes,"The name ""Constitution Hall"" was given to the two-story building, with a basement at this site. Construction began April 1855. It soon became the official headquarters for the ""Topeka Movement"", ""code name"" for the then illegal activities acting against the Pro Slavery laws. John H. Kagi who died at Harpers Ferry with John Brown, was a reporter for the Tribune located here. Joseph Miller, the treasurer for the Topeka Underground Railroad lived and had a tin shop and stored supplies in the basement. Rev. Lewis Bodwell, preacher for the Congregational Church and a major conductor of freedom seekers used the facility. Armstrong, organizer for the Underground Railroad in Shawnee County also used the facility. The building being the only substantial one in the embryo city became the hub for the political, military, religious, economic, educational, social, commercial, and safety center for citizens and fugitives during the period in Kansas history known as ""Bleeding Kansas"". The Free State Capitol building of Kansas (1864-1870) encapsulated old Constitution Hall and expanded it by extensions on each end. It contained all the offices for the newly organized state government and was used until after the Civil War when funds were appropriated to construct the present more prestigious building."
Watkins Community Museum of History,2001,01KS02,Facility,,"Archive,Research Center",,38.96402,-95.235937,1047 Massachusetts Street,Lawrence,Midwest,Kansas,66044,Douglas,,3,,,https://www.watkinsmuseum.org/,No,wcmhist@sunflower.com,Yes,USA,No,,,,Midwest,,,,"Dr. John Doy,Joel Grover,John Brown",Yes,"Watkins Community Museum of History, housed in an 1888-dash built Richardsonian Romanesque building €œformerly a bank and mortgage company, is on the National Register of Historic Places. The museum is governed by an eight €œmember Management Committee as part of the Douglas County Historical Society, which has 23-member Board of Directors. The purpose of the Society is the promotion of historical studies, the collection and preservation of historical materials of Douglas County and the State of Kansas in general. The museum has permanent and temporary exhibits, a research room, a children's ""Hands on History Room"", documents, photos and 3-D collections and library."
Jackson House,2001,01MA02,Site,Station,,,42.355445,-71.194564,527 Washington Street,Newton,Northeast,Massachusetts,2458,Middlesex,,4,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,"Ellen Jackson,William Jackson",Yes,"The Jackson Homestead, Newton's Museum and Historical Society, is a well-preserved 1809 Federal-style house on the National Register of Historic Places. Corroborating written reminiscences and oral tradition, preserved in the museum's collections, provide evidence for the Homestead's role as a station on the Underground Railroad in the mid-nineteenth century. Members of the Jackson family, including William and his brother Francis, were active participants in the abolition movement in the Boston area. The house was donated to the city of Newton in 1949 by a Jackson descendant and opened as a museum in 1950. As a nationally accredited museum today, the Homestead offers a wide range of public programs and exhibitions including interpretive ongoing and annual programs on the Underground Railroad and abolition. The Jackson Homestead is a site on the National Underground Railroad Millennium Trail and is included in the Library of Congress' Local Legacies Project as an Underground Railroad site."
Tappan-Philbrick House,2001,01MA04,Site,Station,,,42.329701,-71.121008,182 Walnut Street,Brookline,Northeast,Massachusetts,2445,Norfolk,,4,,,N/A,No,No,No,USA,No,,,,Northeast,,Massachusetts Anti-Slavery Society,"Grimke Sisters,William and Ellen Craft","Samuel Philbrick,William Lloyd Garrison",No,"The Tappan-Philbrick House is a large granite single-family house located at 182 Walnut Street in Brookline, Massachusetts. Sitting atop a hill, this house was the site of many abolitionist meetings and a stop on the Underground Railroad. It is reported that it was here that William and Ellen Craft hid after the passage of the Fugitive Slave Act in early November 1851. Samuel Philbrick was one of Brookline's first and most active abolitionists. The Grimke sisters spent the winter of 1837 here with the Philbrick family. Philbrick was also the treasurer of the Massachusetts Anti-Slavery Society. According to one source, ""Samuel Philbrick alone kept the spark of anti-slavery feeling alive in that very conservative community."" He was also a friend and financial backer of William Lloyd Garrison and The Liberator from 1831 on."
Wayside,2001,01MA05,Site,Station,,,42.458983,-71.333091,182 Walnut Street,Concord,Northeast,Massachusetts,1742,Middlesex,,5 & 7,,,N/A,978-369-6993,No,Yes,USA,Yes,Minute Man NHP,MIMA,,Northeast,,,,"Alcott Family (MA, 1845-1848),Samuel May",Yes,"The Wayside dates to the closing years of the 17th Century (1600). A colonial farmhouse at the start of the American Revolution in 1775, and home to Samuel Whitney, Muster Master of the Concord Minute Men as well as at least two enslaved Africans. The Alcott family home from 1845 to 1848; it sheltered at least one freedom seeker that can be documented. Mrs. Alcott's family included Judge Samuel Sewall, who wrote an early anti-slavery tract, ""The Selling of Joseph"" in 1700, and her brother, Samuel J. May, was a founder of The American Anti-Slavery Society and a conductor on the Underground Railroad in Syracuse, New York. Later, The Wayside was the only home Nathaniel Hawthorne and his family ever owned and was home to publisher Daniel Lothrop and his wife, Harriet M. Lothrop, better known as Margaret Sidney, who wrote The Five Little Peppers and How They Grew. Each of these literary families made additions to the house. Now the Wayside is a National Historic Landmark in Minute Man Historical Park. It is often referred to as ""The Home of Authors""."
William Ingersoll Bowditch House,2001,01MA06,Site,Station,,,42.335483,-71.116591,455 Lexington Road,Brookline,Northeast,Massachusetts,2445,Norfolk,,4,,,N/A,No,No,No,USA,No,,,,Northeast,,,,William Ingersoll Bowditch,No,"The site being nominated is a single-family house located at 9 Toxteth Street in Brookline, Massachusetts. It was built in 1844-45 as part of an early suburban development of Thomas Aspinwall Davis, a one-time mayor of Boston. The house was bought by William Ingersoll Bowditch who became a leading abolitionist in the Boston anti-slavery movement. Number 9 Toxteth was the site of local abolitionist meetings as well as a stop on the Underground Railroad. Freedom seekers and the son of John Brown were secreted here on their way to freedom. Bowditch helped form the Boston Vigilance Committee on October 15, 1850. Bowditch, along with his friend Philbrick, was the most avid abolitionist in Brookline. Neither voted, except for the town offices, not agreeing with the Constitution. Bowditch, unable to support the Constitution, resigned his office of United States Commissioner. Mr. Bowditch also hosted the Smith Colored School of Boston at his Toxteth house."
Maryland State Archives,2001,01MD01,Facility,,"Archive,Library,Research Center",,38.986385,-76.50152,350 Rowe Boulevard,Annapolis,Northeast,Maryland,21401,Anne Arundel,,1,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,,No,"The Maryland State Archives is the repository for government records of permanent value for the state, counties, and municipalities of Maryland. Among its government records and Special Collections (private, corporate, religious records and newspapers) are the original source materials invaluable to the understanding of the UGRR in this border state. The legal documents, newspapers, and church records stored here are essential original source materials recording freedom seekers and the people who helped them in this land where Frederick Douglass and Harriet Tubman once lived. The nineteenth century government records are also necessary to document the ""peculiar institution"" from which the freedom seekers fled. As a public research facility, with educational and outreach programs and a substantial presence as a research resource on the world wide web, the Maryland State Archives can become a key regional facility in the Network to Freedom."
Forks of the Road Enslavement Market Terminus,2001,01MS01,Site,"Military Site,Archaeological Site,Other",,,31.556111,-91.384409,St. Catherine Street,Natchez,Southeast,Mississippi,39121,Adams,,3 & 4,,,N/A,No,No,Yes,USA,Yes,Natchez National Historical Park,,,Southeast,,,,,No,"By the mid 1850s, Forks of the Road was the Deep South's second largest market for the selling of enslaved African Americans. It was the destination for major and minor traders from Virginia, Georgia, Florida, the Carolinas, Missouri, Tennessee, and Kentucky. The Forks of the Road site was used by Franklin and Armfield, the notorious owners of the Alexandria and Natchez Markets, along with countless smaller dealers. As Union troops pushed the Confederacy out of the region during the Civil War,  Forks of the Road became an encampment for the Natchez US Colored Troops (USCT) stationed at Fort McPherson. Many of these self-emancipated soldiers had once been confined within the Fork of the Roads ""slave pens."" In early 1864, members of the 58th Regiment US Colored Infantry (USCI) helped in dismantling the notorious structure to obtain lumber for the building of barracks. The formerly enslaved tore down the structure with ""great enthusiasm"" and ""terrible earnestness,"" according to a contemporary newspaper article."
